source_block,target_block,total_weight,num_edges,sbm_type
128,142,5.550087427808745,34,flat_exponential
128,128,317.5281300342556,113,flat_exponential
128,184,219.03456168908974,84,flat_exponential
128,37,10.85423143451263,55,flat_exponential
128,201,15.256509064250235,38,flat_exponential
128,84,36.92133389258386,69,flat_exponential
128,18,138.6126692509548,83,flat_exponential
128,21,3.8089174342035523,43,flat_exponential
128,56,42.94006727083034,73,flat_exponential
128,65,6.196712585858476,14,flat_exponential
128,160,585.7248308450567,134,flat_exponential
128,34,20.26569194430994,17,flat_exponential
128,12,95.66173573138424,118,flat_exponential
128,48,1.7378508090802212,23,flat_exponential
128,13,352.07326644347063,96,flat_exponential
128,49,743.775145215018,154,flat_exponential
128,145,55.83152444704306,57,flat_exponential
128,133,144.3669798667684,72,flat_exponential
128,205,6.533934585370858,22,flat_exponential
128,31,25.316613408594943,39,flat_exponential
128,86,4.406908791633465,22,flat_exponential
48,201,118.44650686884857,35,flat_exponential
48,160,147.41438746507188,80,flat_exponential
48,184,165.1388791320502,55,flat_exponential
48,49,367.2804412558496,101,flat_exponential
48,58,0.03176296938946166,11,flat_exponential
48,84,3.2583477083019696,21,flat_exponential
48,86,0.09023663385084892,13,flat_exponential
48,142,1.8747959422444904,14,flat_exponential
48,18,25.938646903394307,37,flat_exponential
48,205,0.40873832252418896,11,flat_exponential
48,37,3.0538736461581593,20,flat_exponential
48,12,137.41974275920776,78,flat_exponential
48,48,25.708191000014434,27,flat_exponential
48,128,1.0434662925030083,23,flat_exponential
48,199,0.5547893571382615,8,flat_exponential
48,21,20.656515210552232,30,flat_exponential
48,31,0.0962970960551234,13,flat_exponential
48,145,12.470486695594444,24,flat_exponential
48,13,19.999143875600705,26,flat_exponential
48,56,7.063130785902556,30,flat_exponential
48,133,84.00720339716092,48,flat_exponential
48,113,0.056768868992477156,6,flat_exponential
113,201,0.16627645160780474,6,flat_exponential
113,184,54.59824227471682,53,flat_exponential
113,160,137.41739326109138,70,flat_exponential
113,18,14.115662867996408,35,flat_exponential
113,128,102.9535290578765,72,flat_exponential
113,205,0.04322563527876142,9,flat_exponential
113,31,13.051794710303337,26,flat_exponential
113,84,2.656024841861454,22,flat_exponential
113,113,46.51802550136115,50,flat_exponential
113,86,0.039078463652009926,5,flat_exponential
113,21,3.513637647168469,8,flat_exponential
113,48,0.023856004862601705,3,flat_exponential
113,13,44.34689456748636,54,flat_exponential
113,12,8.166786182051926,68,flat_exponential
113,142,4.543289095095317,28,flat_exponential
113,58,0.020867625306575835,4,flat_exponential
113,49,253.89257323779094,101,flat_exponential
113,199,0.06505646777738881,10,flat_exponential
113,37,1.1802804088649366,10,flat_exponential
113,145,8.891710715254648,29,flat_exponential
113,56,3.2199762331002706,13,flat_exponential
113,133,20.037962510241233,48,flat_exponential
113,65,0.8107673252582043,7,flat_exponential
205,142,0.5390988115146805,7,flat_exponential
205,84,162.36489803200723,75,flat_exponential
205,184,119.14601442533595,55,flat_exponential
205,31,1.0596705387116696,12,flat_exponential
205,21,2.944264931752865,26,flat_exponential
205,160,265.1836509261178,88,flat_exponential
205,37,40.473817333622144,65,flat_exponential
205,18,129.64181398442395,50,flat_exponential
205,48,0.0027779269509612087,4,flat_exponential
205,49,460.33430770577206,102,flat_exponential
205,86,1.1097372310499138,18,flat_exponential
205,128,0.6280754829889432,20,flat_exponential
205,201,4.29291406806918,26,flat_exponential
205,199,18.247630892885464,23,flat_exponential
205,12,65.92448292835653,80,flat_exponential
205,13,34.9081657000298,45,flat_exponential
205,145,28.98758751386649,40,flat_exponential
205,205,30.260823310381404,28,flat_exponential
205,133,69.75619289029642,48,flat_exponential
205,56,92.3290162519119,55,flat_exponential
205,65,2.0856452164832073,10,flat_exponential
205,113,0.4053793446317693,6,flat_exponential
205,34,0.06623293719854276,2,flat_exponential
34,201,8.399471827185696,9,flat_exponential
34,160,258.2961371541223,67,flat_exponential
34,184,50.22783335523784,41,flat_exponential
34,58,7.377558019016636,11,flat_exponential
34,18,28.039413453923764,32,flat_exponential
34,128,7.291595252472024,20,flat_exponential
34,205,0.24520985914293397,7,flat_exponential
34,34,6.506091230891615,8,flat_exponential
34,199,0.3338801117764476,5,flat_exponential
34,48,1.3903824682451191,9,flat_exponential
34,86,1.202699495205389,10,flat_exponential
34,37,0.3752936903099931,17,flat_exponential
34,84,2.7575332163914528,13,flat_exponential
34,142,0.4148005876503684,12,flat_exponential
34,49,251.34711854648788,76,flat_exponential
34,13,61.87330626027027,32,flat_exponential
34,12,21.51741996554323,53,flat_exponential
34,56,9.769452358208868,24,flat_exponential
34,31,0.029816397806659824,6,flat_exponential
34,145,22.54946353113395,26,flat_exponential
34,113,0.017892802199419598,5,flat_exponential
34,133,25.557320177480047,36,flat_exponential
34,21,0.08537921633815741,10,flat_exponential
84,201,23.362662282702956,58,flat_exponential
84,160,495.62632001004806,132,flat_exponential
84,184,253.87084889884824,80,flat_exponential
84,49,800.2641156552029,150,flat_exponential
84,58,9.339549317218363,34,flat_exponential
84,18,254.8347453385331,76,flat_exponential
84,37,97.44269581551167,98,flat_exponential
84,142,8.754363114317187,38,flat_exponential
84,56,179.6253866495201,84,flat_exponential
84,84,287.5865041237223,119,flat_exponential
84,21,19.16746690675293,58,flat_exponential
84,128,23.638675452019495,64,flat_exponential
84,205,120.94891286594805,75,flat_exponential
84,199,25.48582190621528,45,flat_exponential
84,48,20.488754249857973,44,flat_exponential
84,65,25.62703365428001,48,flat_exponential
84,113,4.776366613670298,23,flat_exponential
84,86,19.99495765442426,31,flat_exponential
84,12,196.47925865919566,110,flat_exponential
84,13,154.50469536995936,84,flat_exponential
84,31,9.904056656598522,21,flat_exponential
84,145,65.43514599661162,57,flat_exponential
84,133,166.50836245284802,66,flat_exponential
84,34,7.821700183338497,13,flat_exponential
160,86,92.96440673088324,88,flat_exponential
160,84,407.6074230148267,137,flat_exponential
160,21,99.5893980855947,91,flat_exponential
160,56,405.10081884634536,104,flat_exponential
160,18,517.5836346549678,90,flat_exponential
160,49,1432.5199920541731,169,flat_exponential
160,184,578.3536690846778,91,flat_exponential
160,34,225.73236739669312,58,flat_exponential
160,128,391.3125728827053,150,flat_exponential
160,37,333.2127175137804,130,flat_exponential
160,31,52.82879536758103,70,flat_exponential
160,142,28.615419912491458,73,flat_exponential
160,199,22.986698647830387,45,flat_exponential
160,48,91.84673996119203,85,flat_exponential
160,201,233.29443019734924,99,flat_exponential
160,160,1255.0051475875073,144,flat_exponential
160,205,114.72910965007685,89,flat_exponential
160,58,61.36165287589722,80,flat_exponential
160,13,552.602096186878,104,flat_exponential
160,12,512.8222488050753,130,flat_exponential
160,65,75.57665072746956,71,flat_exponential
160,145,370.1334415121852,87,flat_exponential
160,133,445.6656435688387,78,flat_exponential
160,113,11.437276068518418,54,flat_exponential
49,86,194.44900163688885,99,flat_exponential
49,84,736.0743011731164,148,flat_exponential
49,21,339.2411159748546,91,flat_exponential
49,56,581.4746967982416,103,flat_exponential
49,205,267.8601009763398,101,flat_exponential
49,18,670.9095059023645,91,flat_exponential
49,49,1549.4221754112518,156,flat_exponential
49,184,760.5345825672715,91,flat_exponential
49,128,610.1662490487691,150,flat_exponential
49,37,579.0592636347632,140,flat_exponential
49,31,100.59250168334704,83,flat_exponential
49,142,21.314333145557182,84,flat_exponential
49,199,89.69544388131679,77,flat_exponential
49,48,258.5348330599865,95,flat_exponential
49,201,536.6201022436403,115,flat_exponential
49,160,1337.182848079105,156,flat_exponential
49,113,52.246731654901545,83,flat_exponential
49,58,61.75295333114923,73,flat_exponential
49,13,649.7150644220073,104,flat_exponential
49,12,851.5845569996434,130,flat_exponential
49,65,223.34784799183655,92,flat_exponential
49,34,198.521309791666,59,flat_exponential
49,145,472.43869728660616,90,flat_exponential
49,133,623.9980215016772,78,flat_exponential
56,48,13.353683512867844,36,flat_exponential
56,201,115.19860584150075,65,flat_exponential
56,184,249.34216986027477,56,flat_exponential
56,160,467.2013089430512,90,flat_exponential
56,21,22.14816182245655,52,flat_exponential
56,56,221.19896855302974,56,flat_exponential
56,49,701.1249639940329,104,flat_exponential
56,205,24.028701828200145,44,flat_exponential
56,58,0.3264252682517611,26,flat_exponential
56,84,65.49692996142844,82,flat_exponential
56,128,17.594336161635486,56,flat_exponential
