sbm_type,block_id,vertex_name,in_degree,out_degree,betweenness,pagerank
flat_exponential,12,"Slovenia, Republic of",54.60242396101866,46.65887931417764,0.0,0.11304880241175586
flat_exponential,12,"Latvia, Republic of",43.30596850566261,45.390536926793885,0.041666666666666664,0.09322847461786915
flat_exponential,12,"Croatia, Republic of",44.77934698874444,46.25838120228685,0.0,0.09747952322653018
flat_exponential,12,Ukraine,47.021798223921216,51.88932425438021,0.0,0.10050026597036019
flat_exponential,12,"Estonia, Republic of",40.177542685366255,43.372440906919756,0.0,0.08760962397260486
flat_exponential,12,Slovak Republic,56.83508802114637,52.40886830491657,0.0,0.11787608218044499
flat_exponential,12,Romania,52.7399504320191,55.809898991410776,0.0,0.11167069207564828
flat_exponential,12,"Lithuania, Republic of",51.584946374923334,51.18152723055548,0.0,0.10812434873060867
flat_exponential,12,Luxembourg,30.59637274289122,28.536434947726896,0.3055555555555555,0.07051486350593568
flat_exponential,12,"Serbia, Republic of",46.41010771537849,46.54725357190362,0.013888888888888888,0.09994732330824233
flat_exponential,13,Uruguay,26.469502462641934,26.038196160309745,0.07142857142857142,0.10151955359914595
flat_exponential,13,Chile,41.45471477063295,45.028487764329476,0.0,0.14921614326785698
flat_exponential,13,New Zealand,21.955455082742244,21.9636095651452,0.30952380952380953,0.08423653437204016
flat_exponential,13,Argentina,47.55646805502116,34.38534847856769,0.0,0.16002036927069474
flat_exponential,13,Guatemala,23.756095667554884,33.45358055132887,0.023809523809523808,0.09240027709155825
flat_exponential,13,Colombia,39.71306556514099,37.316362523303866,0.0,0.13960756008221586
flat_exponential,13,Peru,37.82767890450948,42.36860108155122,0.0,0.13702687823835305
flat_exponential,13,Ecuador,38.323325872296365,36.50212025600394,0.0,0.13597268407813506
flat_exponential,18,Saudi Arabia,39.697435150123454,30.390231877542817,0.0,0.1842777340071443
flat_exponential,18,Pakistan,26.333960787555817,29.328240838095464,0.0,0.13473110923525797
flat_exponential,18,Israel,15.966150669588737,14.444012938458831,0.0,0.09218740048359285
flat_exponential,18,Morocco,28.26411514021443,29.68599159785844,0.13333333333333333,0.14438750023747907
flat_exponential,18,South Africa,31.293168898821342,31.287626743466816,0.0,0.15985947674058226
flat_exponential,18,Bangladesh,20.32468472009397,30.186252098677343,0.0,0.11305739345513634
flat_exponential,18,"Egypt, Arab Republic of",33.98465671185761,30.541815984155658,0.06666666666666667,0.1714993858408072
flat_exponential,21,Montenegro,13.493454435965237,18.654309015972654,0.4,0.14327245057035332
flat_exponential,21,"North Macedonia, Republic of",21.655920813501996,18.805966739075746,0.0,0.21801082644780403
flat_exponential,21,"Kosovo, Republic of",16.517438797695018,19.61972126454661,0.0,0.17162627044926881
flat_exponential,21,Iceland,0.30370689725285743,0.42695548258329113,0.8,0.024612594224339493
flat_exponential,21,"Moldova, Republic of",4.875245779795931,5.43807729135912,0.26666666666666666,0.06719176999985385
flat_exponential,21,Bosnia and Herzegovina,19.651242544815254,16.725901736442793,0.0,0.18514034003559168
flat_exponential,21,Albania,20.21544308720078,17.041520826246863,0.0,0.19014574827278885
flat_exponential,31,"Curaçao, Kingdom of the Netherlands",0.6698700493569083,0.41191656774840296,0.26666666666666666,0.1677748503103271
flat_exponential,31,Central African Republic,0.0,0.0,0.0,0.024390243902439025
flat_exponential,31,"Bahamas, The",0.01914360359952386,0.7907907314420134,0.0,0.033729147213069355
flat_exponential,31,Haiti,0.33892613692044493,0.08865618103376614,0.26666666666666666,0.06584172766160645
flat_exponential,31,"Macao Special Administrative Region, People's Republic of China",0.0,0.033614643854901774,0.0,0.024390243902439025
flat_exponential,31,Suriname,0.5381925018367599,1.229892817610731,0.0,0.3983775230688148
flat_exponential,31,Belize,1.147629652877066,0.15889100290088765,0.2,0.2854962639413038
flat_exponential,34,Bolivia,0.04900728345447694,0.0017644424554794692,0.15000000000000002,0.0254555630662007
flat_exponential,34,"Fiji, Republic of",4.4483314861103445,1.7094407010706858,0.0,0.40843317743787977
flat_exponential,34,Papua New Guinea,2.006963019183809,2.503884836018832,0.15000000000000002,0.42983238657431905
flat_exponential,34,Brunei Darussalam,2.4999687505208236e-05,0.005003461782320832,0.25,0.06464164431533001
flat_exponential,34,Lao People's Democratic Republic,0.0017644424554794692,2.4999687505208236e-05,0.25,0.0466372286062706
flat_exponential,34,French Polynesia,0.0,2.285972789876792,0.0,0.025
flat_exponential,37,Djibouti,15.588710121265985,8.738694889244066,0.4444444444444445,0.0598628422379507
flat_exponential,37,Sudan,4.764129522543922,16.480466487403223,0.18888888888888888,0.026285447726071182
flat_exponential,37,"Mozambique, Republic of",11.938504593063946,21.92727973225941,0.0,0.06030924858979518
flat_exponential,37,"Madagascar, Republic of",9.854068575334471,7.998710257581352,0.41111111111111115,0.046272543183126146
flat_exponential,37,Kenya,38.27619010150803,27.802671874168936,0.16666666666666669,0.15078554996978413
flat_exponential,37,Namibia,18.01772686783349,9.976560781771806,0.6888888888888889,0.07408114224012505
flat_exponential,37,"Tanzania, United Republic of",30.207298923424354,26.81180716573178,0.0,0.1300269487888814
flat_exponential,37,Uganda,29.227962632779313,21.081601244432257,0.0,0.11267455607539825
flat_exponential,37,"Congo, Democratic Republic of the",29.0704713968327,35.13568741648297,0.0,0.125567359663405
flat_exponential,37,Zambia,29.34864751302053,29.169055267873865,0.0,0.13354076338000467
flat_exponential,37,"Ethiopia, The Federal Democratic Republic of",16.74845829872082,27.919633429377896,0.0,0.08059359814545827
flat_exponential,48,Faroe Islands,2.6752292906705413,1.7504318727692694,0.3571428571428571,0.26008037421447294
flat_exponential,48,Greenland,2.6480285987710324,2.354887273285021,0.0,0.2678747023093373
flat_exponential,48,"Armenia, Republic of",7.646548293407613,3.28423907203809,0.26190476190476186,0.13511214666481036
flat_exponential,48,Turkmenistan,5.392122405002611,4.683992327874226,0.0,0.10638302618961902
flat_exponential,48,Mongolia,2.2267042372295425,1.4186273640436715,0.47619047619047616,0.04477705858203879
flat_exponential,48,Kyrgyz Republic,3.8568659239018745,10.533345405286454,0.14285714285714285,0.1079986821687962
flat_exponential,48,"Tajikistan, Republic of",0.6872084014261559,1.682667684717702,0.47619047619047616,0.0304034730962476
flat_exponential,48,"San Marino, Republic of",0.5754838496050645,0.0,0.0,0.04737053677467774
flat_exponential,49,"Netherlands, The",123.20986097629513,121.26867077290453,0.0,0.07908703905219738
flat_exponential,49,France,122.65530879047816,124.0748200214554,0.0,0.07894159200627646
flat_exponential,49,Italy,121.70708341299547,120.57693219714375,0.0,0.07828360722553367
flat_exponential,49,United Kingdom,118.6381947194904,122.7740162505002,0.0,0.07681483639379733
flat_exponential,49,"Türkiye, Republic of",106.51399922444315,114.00653575351552,0.0,0.07010961610650256
flat_exponential,49,India,111.51815750468809,110.7013783740291,0.0,0.07256390912389588
flat_exponential,49,Spain,113.81985281741372,116.15582432890294,0.0,0.07402827259947531
flat_exponential,49,Germany,132.4594744732654,129.27960640849588,0.0,0.08420659808003138
flat_exponential,49,Belgium,118.72899524810185,117.85659714535115,0.0,0.07661206515263097
flat_exponential,49,"China, People's Republic of",131.65989479049603,120.9962140024008,0.0,0.08329376826968242
flat_exponential,49,United Arab Emirates,102.92957867167522,110.11506228477646,0.0,0.06828924602361454
flat_exponential,49,Switzerland,117.65993266084489,111.49322531822791,0.0,0.07583498127736611
flat_exponential,49,United States,127.92184212106335,130.1232925535473,0.0,0.08193446868899609
flat_exponential,56,Lebanon,24.253876433089335,23.828322100928727,0.047619047619047616,0.11287931235298235
flat_exponential,56,Algeria,21.128341647909984,31.00578744549263,0.16666666666666666,0.0966299793779333
flat_exponential,56,Tunisia,20.21585358158418,24.86536643685929,0.19047619047619047,0.0941027440494778
flat_exponential,56,Jordan,31.154536627513703,28.720812326723433,0.0,0.1398664127894041
flat_exponential,56,"Bahrain, Kingdom of",32.32509643049906,20.43884170337938,0.0,0.13631957427733232
flat_exponential,56,Oman,31.48039844876178,27.821939300619064,0.047619047619047616,0.1415996392454713
flat_exponential,56,Kuwait,27.53239404357515,33.81483441675959,0.023809523809523808,0.13319881188662328
flat_exponential,56,Qatar,33.108471340096564,30.703064822267635,0.0,0.14540352602077566
flat_exponential,58,"Micronesia, Federated States of",0.0,0.006300112548479854,0.0,0.02552105487026798
flat_exponential,58,Bhutan,0.0,0.0,0.0,0.02552105487026798
flat_exponential,58,Tonga,0.0,0.0515482618805766,0.0,0.02552105487026798
flat_exponential,58,"Eritrea, The State of",0.0,0.0,0.0,0.02552105487026798
flat_exponential,58,Vanuatu,0.31298571783578166,0.021522715722962372,0.0,0.26200960600729994
flat_exponential,58,Samoa,0.0515482618805766,0.0,0.0,0.047213951509995765
flat_exponential,58,Kiribati,0.027240338918205334,0.39904271389455603,0.05555555555555555,0.2525498161870402
flat_exponential,58,Solomon Islands,1.0431369786349733,0.3187033410310246,0.08333333333333333,0.2833043775475432
flat_exponential,58,"Nauru, Republic of",0.0033384212653994327,0.641132573457337,0.0,0.027316974396781254
flat_exponential,58,Holy See,0.0,0.0,0.0,0.02552105487026798
flat_exponential,65,Burundi,1.916056248629721,4.7995001261358,0.23809523809523808,0.029230501272730205
flat_exponential,65,"Comoros, Union of the",0.020335231805841514,0.06491376322545199,0.3571428571428571,0.020870852837608818
flat_exponential,65,Zimbabwe,6.414518970328645,12.453906541881267,0.26190476190476186,0.11231875476277177
flat_exponential,65,Malawi,8.491690508413056,4.04516006235713,0.2857142857142857,0.08937396794582572
flat_exponential,65,Rwanda,3.3759593716782788,6.694968980375137,0.0,0.042796212018455224
flat_exponential,65,"Lesotho, Kingdom of",3.3308773599431047,1.9678771148612824,0.2857142857142857,0.255991790265734
flat_exponential,65,"Eswatini, Kingdom of",12.355817265844784,2.4786970671824453,0.6904761904761905,0.30638566224357405
flat_exponential,65,Botswana,5.192801232299992,8.593032532924912,0.0,0.14303225865329977
flat_exponential,84,Mauritius,0.7875635066029871,11.032588842428414,0.5181818181818182,0.014709448213511743
flat_exponential,84,Angola,24.328551576672915,25.501640050949224,0.0,0.08001997349988176
flat_exponential,84,"Congo, Republic of",19.360999274484573,29.111266891893496,0.1909090909090909,0.07127052339534375
flat_exponential,84,Côte d'Ivoire,43.03883995338049,38.75938323772404,0.03636363636363636,0.13543615669453984
flat_exponential,84,Burkina Faso,17.495991688531912,23.156818441321093,0.36363636363636365,0.057878591642867044
flat_exponential,84,Gabon,35.30524143379968,19.50196460514941,0.0,0.12336526571218463
flat_exponential,84,Ghana,30.56343971631667,30.140384730176965,0.0,0.10116561343694795
flat_exponential,84,Senegal,30.85399979987404,32.645449555387444,0.21818181818181817,0.10672897381330189
flat_exponential,84,"Mauritania, Islamic Republic of",17.476303362681968,15.631505479321515,0.22727272727272727,0.061883788469522756
flat_exponential,84,"Korea, Democratic People's Republic of",9.596454362826277,3.875845949183061,0.32727272727272727,0.04088464944605268
flat_exponential,84,Cameroon,22.989359672781532,30.14164338790114,0.08181818181818182,0.08550227342553017
flat_exponential,84,Nigeria,35.78975977576904,28.08801295228629,0.14545454545454545,0.12115474225031578
flat_exponential,86,Maldives,0.0,0.2602530306255146,0.0,0.06407271360095475
flat_exponential,86,Gibraltar,0.0,0.0,0.0,0.06407271360095475
flat_exponential,86,Nepal,0.28771925738181325,0.0002139771052662571,0.07142857142857142,0.18991339373506
flat_exponential,86,Chad,0.17592552858593116,0.0,0.0,0.1483019326896923
flat_exponential,86,"Marshall Islands, Republic of the",0.0002139771052662571,0.0,0.0,0.22549924266501195
flat_exponential,86,"South Sudan, Republic of",0.0,0.0,0.0,0.06407271360095475
flat_exponential,86,"Yemen, Republic of",0.0,0.7323340417037154,0.0,0.06407271360095475
flat_exponential,86,New Caledonia,0.0,0.08431541280847486,0.0,0.06407271360095475
flat_exponential,86,West Bank and Gaza,0.6972024468414271,0.08394474767146665,0.03571428571428571,0.11592186290546153
flat_exponential,113,Antigua and Barbuda,4.0483047594713195,9.412752940629051,0.0,0.10212700316365293
flat_exponential,113,"Aruba, Kingdom of the Netherlands",0.3870288068157519,1.9571955781427985,0.6666666666666666,0.027508360024464662
flat_exponential,113,Dominica,3.8492016483976164,6.719942159796415,0.0,0.09084546772833436
flat_exponential,113,St. Lucia,7.854115388676447,7.91411639746696,0.3333333333333333,0.17046036159391015
flat_exponential,113,"Sint Maarten, Kingdom of the Netherlands",4.0888136891766464,2.787792059982777,0.3571428571428571,0.0762367718056632
flat_exponential,113,Barbados,13.430800700299393,5.856088276265902,0.0,0.24131298376572385
flat_exponential,113,St. Vincent and the Grenadines,8.659465494633393,6.48246517548205,0.09523809523809523,0.18712802561352
flat_exponential,113,Grenada,4.200295013890578,5.387672913595191,0.26190476190476186,0.10438102630473084
flat_exponential,128,Cambodia,0.0,1.6567615717159443,0.0,0.0125
flat_exponential,128,Cuba,13.95434151993185,28.394081678178072,0.16363636363636364,0.05263319117493892
flat_exponential,128,Jamaica,18.226367604139135,30.33764255094413,0.06363636363636363,0.05840479262270722
flat_exponential,128,Trinidad and Tobago,27.551247321214966,24.734155576383714,0.15454545454545454,0.07563647013442171
flat_exponential,128,El Salvador,40.02203355683574,23.39893225163913,0.05454545454545454,0.12136835415391115
flat_exponential,128,Panama,23.797413578978745,40.58272343267373,0.0,0.08486949394451308
flat_exponential,128,Costa Rica,49.1373046805884,31.78432063123738,0.0,0.14450700769185432
flat_exponential,128,Honduras,33.82615736490283,29.18674462802506,0.14545454545454545,0.11400899222286207
flat_exponential,128,Nicaragua,23.780732940137533,26.516089832640997,0.21818181818181817,0.08900908005729595
flat_exponential,128,Dominican Republic,38.118840426135336,37.275836266921935,0.0,0.11553104970439938
flat_exponential,128,"Venezuela, República Bolivariana de",23.69699899556411,19.94337789500669,0.32727272727272727,0.06358082014535549
flat_exponential,128,Guyana,25.416692045827034,23.717463718888876,0.05454545454545454,0.06795074814774067
flat_exponential,133,Czech Republic,37.888782937254845,35.70680236145762,0.0,0.19221182757060606
flat_exponential,133,Bulgaria,27.76315261043689,30.00895930302517,0.0,0.14955787975080476
flat_exponential,133,Portugal,30.05698333143901,31.517658426816514,0.0,0.15924892989124678
flat_exponential,133,Finland,28.067097197270503,29.650883619249825,0.0,0.15025015968332284
flat_exponential,133,Ireland,31.6966441887332,31.03000074697698,0.0,0.1651045248238618
flat_exponential,133,Hungary,36.074223677195434,33.63257948480377,0.0,0.18362667828015744
flat_exponential,142,Tuvalu,0.0,0.0,0.0,0.027975234344543513
flat_exponential,142,American Samoa,0.004629268383662241,0.0,0.0,0.0917625409425931
flat_exponential,142,Bermuda,0.27354411092908393,0.004629268383662241,0.10714285714285714,0.0750438900280566
flat_exponential,142,"Anguilla, United Kingdom-British Overseas Territory",0.5825865007884964,0.4600168089194505,0.0,0.09870917641001703
flat_exponential,142,"Palau, Republic of",0.003424130966693796,2.6601598620886664,0.21428571428571427,0.25917864826765075
flat_exponential,142,St. Kitts and Nevis,0.3968463918829306,0.7099142818745423,0.17857142857142855,0.10140384719442674
flat_exponential,142,"Montserrat, United Kingdom-British Overseas Territory",0.12467324479666117,0.2077311570872016,0.2857142857142857,0.04588173393948255
